Species	SeqID	Sigma	Phi
Smus	Centroid	0.8445199305144613	0.958058999340818
Eaqu	Centroid	0.7315675767582109	0.8937373177252147
Afis	Centroid	0.7770137120310567	0.9256245981273017
Cpos	Centroid	0.7661475879933348	0.9181364893371414
Ptri	Centroid	0.746524907196403	0.9231275081617732
Slig	Centroid	0.6621380825217708	0.8699221939035058
Dcor	Centroid	0.798755708723772	0.9284525790349417
Ngyp	Centroid	0.8841484532787085	0.9659503456924604
Spas	Centroid	0.8909301019193746	0.9654873837448333
Acan	Centroid	0.8513665286125037	0.94375
Apip	Centroid	0.8385197285326138	0.9544481821122052
Cput	Centroid	0.789121767471977	0.9293007306773136
Pgra	Centroid	0.4086292243707905	0.7393027494941069
Abom	Centroid	0.7552533548317413	0.9200906515580737
Ppen	Centroid	0.5894844246873513	0.7904332084052654
Tree	Centroid	0.6587156562697739	0.8601024992503145
Opol	Centroid	0.9420886688564526	0.945678299758969
Bbas	Centroid	0.7360114383166663	0.9080368907639687
Etur	Centroid	0.6941422910491224	0.9115861577442124
Mosm	Centroid	0.9785684858856486	0.9895063605525474
Pfij	Centroid	0.5257676943153835	0.9331083682778734
Kbra	Centroid	0.8034112920350063	0.9406979227892825
Ncas	Centroid	0.9697205396909777	0.9934894002968707
Exen	Centroid	0.9319480382743123	0.9850209807986369
Pmem	Centroid	0.9570014220708201	0.9913435320328036
Aste	Centroid	0.8665032826084242	0.9677472736646638
Sapi	Centroid	0.4344510979537336	0.6948377608469389
Pmin	Centroid	0.42734888753700234	0.7490845393906849
Mcan	Centroid	0.8926129641767445	0.9676508348157257
Ntet	Centroid	0.6421872849289388	0.847040888800394
Pgri	Centroid	0.6911824930157969	0.866769251019243
Mrob	Centroid	0.6630996673579449	0.8630633869315474
Fmed	Centroid	0.5737959991422038	0.9104678974979881
Mgui	Centroid	0.9305769177082415	0.9421954425464772
Acos	Centroid	0.8390339555235622	0.956190444524913
Calb	Centroid	0.8253695845826343	0.9319119442081336
Lelo	Centroid	0.7768005614107387	0.9113808930150435
Ssti	Centroid	0.8483565928395714	0.9544800943285342
Kafr	Centroid	0.9450098885274448	0.9838307260220616
Ater	Centroid	0.8610447849505344	0.9552145163474595
Fpse	Centroid	0.7644845183907161	0.9199562326425066
Fere	Centroid	0.821045276584619	0.9372757606374957
Hbic	Centroid	0.5571216506894517	0.8672930519459805
Ahet	Centroid	0.8075184508291293	0.9439402675124376
Pchl	Centroid	0.6986384998175479	0.8890955893951195
Esin	Centroid	0.986240549275287	0.9917739147515643
Amul	Centroid	0.7442085248180146	0.9436265757225341
Fpro	Centroid	0.8002944874848837	0.9347037968248468
Fnub	Centroid	0.8731082276790705	0.9507772020725389
Tter	Centroid	0.7017866537285736	0.9122012974763556
Rgra	Centroid	0.9187465383784106	0.983647010731933
Wano	Centroid	0.8788430255561813	0.976646713029326
Shir	Centroid	0.7887288904158684	0.9200739086390403
Macr	Centroid	0.5602787414344855	0.7933545148249658
Yten	Centroid	0.9387277198016488	0.9859943457066611
Fgra	Centroid	0.8145541513203565	0.9449143932935176
Zrou	Centroid	0.9699803729110581	0.9816846052048803
Pver	Centroid	0.815506549776055	0.9376409343475212
Tdel	Centroid	0.9721557194876892	0.9833641120110889
Bsor	Centroid	0.8301629910461064	0.9528543350802938
Knag	Centroid	0.9580620668446684	0.9902051803505335
Mpac	Centroid	0.9250416090764805	0.9557049862282421
Pdes	Centroid	0.6448353862524051	0.9218294930861531
Tcit	Centroid	0.6945242403975906	0.8780857060049638
Bpan	Centroid	0.9641035093789999	0.9933660741858285
Tvir	Centroid	0.7280963107272994	0.8941160299193408
Kcap	Centroid	0.97368939809835	0.9968017673147697
Ares	Centroid	0.8344328028803187	0.9504950259001318
Asac	Centroid	0.8109029773880994	0.9389086592140891
Mant	Centroid	0.9411561656495747	0.988413809923677
Trub	Centroid	0.8835933197291479	0.9666276497196259
Phub	Centroid	0.9645950608741559	0.9936195542863904
Cthe	Centroid	0.5725018753839322	0.7901116949332677
Pspo	Centroid	0.8534702899155827	0.9576840169155986
Rtor	Centroid	0.9797077814398705	0.9946482685515227
Cfum	Centroid	0.7148084362085969	0.8956043698127968
Ssch	Centroid	0.7204143183063305	0.905941125218491
Anov	Centroid	0.8532091924704254	0.9653973358367927
Cjad	Centroid	0.8715730857932016	0.9716013905845607
Gtri	Centroid	0.8466494476790447	0.9603629998284016
Afla	Centroid	0.7807228781646988	0.9229210150559561
Mmil	Centroid	0.9227763983407934	0.9867129507910821
Sgra	Centroid	0.8657800166998681	0.965653503558612
Tasp	Centroid	0.7826384697640034	0.9250949762535292
Gloz	Centroid	0.7639045757300682	0.9075864876662072
Aalt	Centroid	0.907443572221084	0.9771754455919599
Cglo	Centroid	0.7863024454395265	0.9066635478394529
Sjap	Centroid	0.959173930407216	0.9906210812706289
Stan	Centroid	0.9265862779788708	0.979625614674843
Vdah	Centroid	0.727263307246487	0.9034237882887708
Ajap	Centroid	0.8519832389200772	0.9583858637357361
Cepi	Centroid	0.8350340063906497	0.9402078109232064
Rmic	Centroid	0.8047632187358169	0.9467873635885885
Xhev	Centroid	0.8371098426867066	0.9475884994961985
Cpsa	Centroid	0.8068542666878363	0.9338715648141545
Kpha	Centroid	0.9465472675693196	0.9570727340468677
Cneo	Centroid	0.8885903223958703	0.9645528917434552
Cyeg	Centroid	0.8163692540603573	0.9312982868196391
Espi	Centroid	0.8479781129097884	0.9452073419170455
Scry	Centroid	0.9804413286254325	0.9955254019862115
Thar	Centroid	0.8001287733009271	0.9330699484405425
Cmil	Centroid	0.7588766358453728	0.9271457029269268
Llan	Centroid	0.9213060495009089	0.9729129791370456
Pcur	Centroid	0.7531361927746643	0.9137931034482759
Valf	Centroid	0.6821972677033232	0.8753531357750698
Mglo	Centroid	0.9643816769218292	0.9935382229266034
Auva	Centroid	0.8320579173433302	0.9292604501607717
Hbur	Centroid	0.9443858460441427	0.9905963180768276
Pbla	Centroid	0.672035202466437	0.8723708655525838
Spun	Centroid	0.9431921849152353	0.9902594476389627
Tbla	Centroid	0.8795966673226839	0.9648055507444789
Fven	Centroid	0.7953085704438286	0.930043550042519
Acla	Centroid	0.8142796489747639	0.9437739901233135
Cwin	Centroid	0.9513909960930764	0.9939468177212195
Rmac	Centroid	0.7727921173586294	0.9098293780512204
Aory	Centroid	0.7108186551963763	0.8910115963951142
Ctro	Centroid	0.8235974153515327	0.9349039240008077
Aflo	Centroid	0.8094665607769942	0.9264145674821948
Plil	Centroid	0.6994379074674242	0.8948921139930778
Aeuc	Centroid	0.8494154021804032	0.9597663550530774
Avad	Centroid	0.8295482788030146	0.9528159425456781
Bino	Centroid	0.915716957196229	0.9809378364762019
Cort	Centroid	0.8628965705616056	0.9564487238617851
Pzon	Centroid	0.9180157845378801	0.9824023095347247
Fmul	Centroid	0.8644180089721887	0.9543563123343454
Ltra	Centroid	0.6990859648333123	0.8864977809208616
Mlar	Centroid	0.30518839567212197	0.6278224907710016
Patt	Centroid	0.8662540038800874	0.9605837886333843
Ztri	Centroid	0.6975437411893999	0.9095447610190971
Lmac	Centroid	0.7813930569233507	0.9684219542729695
Opar	Centroid	0.9664903147664594	0.9675260661629526
Wsor	Centroid	0.9537810997451012	0.9751126282730995
Jros	Centroid	0.959694487324775	0.9945919311332253
Scri	Centroid	0.763172699610485	0.9230758295984911
Eoli	Centroid	0.7964626625761643	0.9504501718026394
Anam	Centroid	0.8753492798850797	0.9626692393893309
Aibe	Centroid	0.8557047158174648	0.9630047345758731
Pdig	Centroid	0.7432193420933416	0.9098806218186425
Pari	Centroid	0.8587221055350764	0.9552084572949019
Apor	Centroid	0.8496602176311542	0.9524713200700088
Uree	Centroid	0.847541105755276	0.9443343495738397
Emes	Centroid	0.7979617012486356	0.9496491137681145
Aing	Centroid	0.9549526428358293	0.9943065346837937
Ecym	Centroid	0.9135200540926812	0.9817989736865345
Seub	Centroid	0.938774917921474	0.9849711691816955
Hcap	Centroid	0.6413330476248935	0.8462281729526273
Lthe	Centroid	0.9549674256831755	0.9852770342054068
Scom	Centroid	0.8051793941683724	0.9352549298865688
Tmar	Centroid	0.863541172247295	0.9658537681984207
Cbet	Centroid	0.8531390573883211	0.9598937640664799
Bspe	Centroid	0.8232895060092933	0.946157960892273
Ascl	Centroid	0.8521671854709502	0.9642440258401453
Foxy	Centroid	0.8881596463339217	0.9736402512217937
Ndai	Centroid	0.8936500433114697	0.9710110701092811
Afum	Centroid	0.7872163381943889	0.9338453859279158
Tmel	Centroid	0.1897599008338181	0.6547279441547003
Tthe	Centroid	0.6849659949034059	0.9068141034300625
Chig	Centroid	0.6479126376379534	0.8522482877774881
Ceur	Centroid	0.8573144136540939	0.9554421321602614
Eder	Centroid	0.9245187392367101	0.9863904957320037
Plut	Centroid	0.6545307025581104	0.8647248465296716
Pory	Centroid	0.7920499685669485	0.9326082120214402
Pexp	Centroid	0.7918982571832313	0.9240924092409241
Gtra	Centroid	0.7377162277116359	0.9166155653487132
Aacu	Centroid	0.79311907091162	0.9305588225961109
