Species	SeqID	Sigma	Phi
Dgri	Centroid	0.254419020721151	0.601741074684
Dhyd	Centroid	0.4385049807288218	0.739802415567
Dkik	Centroid	0.45811382596985567	0.76808748123
Dmir	Centroid	0.43868317449095606	0.751350021742
Dnav	Centroid	0.4875044357625966	0.772592078754
Dobs	Centroid	0.46871644171486604	0.760296576456
Drho	Centroid	0.4754599465869204	0.732589385186
Dser	Centroid	0.40335395640186045	0.72475245317
Dsuz	Centroid	0.45816750986870214	0.739692355879
Dtak	Centroid	0.4785822121870092	0.766322339552
Dwil	Centroid	0.2904140052841188	0.621630628387
Emex	Centroid	0.3384449515780715	0.633758941904
Eaff	Centroid	0.3200710766097088	0.513049932524
Epal	Centroid	0.5809885635798883	0.74172448227
Fcan	Centroid	0.26015636006234766	0.54760335884
Fari	Centroid	0.5816357624449437	0.839739965176
Fexs	Centroid	0.4579739095725333	0.728924318148
Hrob	Centroid	0.26219486817099125	0.486425676511
Hazt	Centroid	0.24734579908339058	0.427401922578
Hkah	Centroid	0.20249590910384271	0.367871859222
Isca	Centroid	0.15056349695203608	0.287894463276
Ldec	Centroid	0.2792512383962151	0.427582503492
Lhum	Centroid	0.6176570904933752	0.793858387792
Lloa	Centroid	0.5249910600457764	0.701598954631
Lgig	Centroid	0.20937306645706863	0.418432226607
Msac	Centroid	0.20017897344348803	0.413598557526
Mdem	Centroid	0.3932027421550798	0.664620569334
Mpha	Centroid	0.4959787390516951	0.758332725678
Name	Centroid	0.19488411847674192	0.431533174399
Nvec	Centroid	0.25115552421643733	0.442106147741
Nlec	Centroid	0.17856891147216838	0.428406772476
Nves	Centroid	0.5025083221143011	0.721000049319
Nful	Centroid	0.4882446816886021	0.698023705733
Oviv	Centroid	0.05018050344396518	0.126316219832
Oabi	Centroid	0.5236150178800463	0.818886104303
Obic	Centroid	0.6039154187327396	0.81952980078
Pxut	Centroid	0.45571105313263005	0.709301518975
Phum	Centroid	0.22525562082602088	0.563313903688
Pgra	Centroid	0.4632354079189759	0.763819414112
Rzep	Centroid	0.351676045566569	0.470801432931
Rmai	Centroid	0.20650167096719285	0.431931078004
Amil	Centroid	0.5620740868273578	0.70505810678
Atum	Centroid	0.30622497968973333	0.574315597819
Atra	Centroid	0.3533213969535543	0.58296247193
Aros	Centroid	0.5198637656270438	0.7914249285
Acol	Centroid	0.2195632050135179	0.483471417933
Bany	Centroid	0.2835937026572491	0.491630732027
Crem	Centroid	0.6881796529563592	0.905852412119
Cowc	Centroid	0.9501082798474706	0.989302324307
Tsep	Centroid	0.30610422653614744	0.544765058173
Tzet	Centroid	0.27719197172479204	0.539316162502
Tspi	Centroid	0.6159404949292365	0.815996825642
Tpre	Centroid	0.4072046093418734	0.70156093594
Tadh	Centroid	0.2389092660098415	0.395281149787
Vtam	Centroid	0.38042397513399984	0.596176186068
Vjac	Centroid	0.6586214120320935	0.730376766091
Veme	Centroid	0.4226313987051472	0.686820667785
Waur	Centroid	0.44759728020695716	0.699456007063
Cscu	Centroid	0.2809335391887219	0.389980426526
Ccal	Centroid	0.6011281010568398	0.825929702493
Csol	Centroid	0.18757257907473693	0.466346827874
Csec	Centroid	0.27143943353155014	0.368329308781
Cfel	Centroid	0.24839076057107456	0.591958222101
Cqui	Centroid	0.12017933891952476	0.376292184724
Ccos	Centroid	0.217762161968607	0.517315610672
Dpon	Centroid	0.47348862207983206	0.719507271211
Sros	Centroid	0.9633982422339938	0.99041627924
Sleb	Centroid	0.29283043406898007	0.573747392118
Shae	Centroid	0.06193597695025584	0.162009706422
Sfla	Centroid	0.2572303228944188	0.431076727004
Scal	Centroid	0.242917745786081	0.360357407967
Srat	Centroid	0.5654059332916522	0.794996187719
Tcur	Centroid	0.4617808923999067	0.6770453121
Tcor	Centroid	0.2875656787204752	0.544053526058
Dall	Centroid	0.3814577923369862	0.658825134388
Dcit	Centroid	0.4010152178834535	0.661764705882
Dari	Centroid	0.4123019783781259	0.72320575522
Dbia	Centroid	0.47223476641546575	0.766194298031
Dbip	Centroid	0.49675654625514337	0.804020447602
Dbus	Centroid	0.40091189862741516	0.737083509696
Dele	Centroid	0.4888613849483597	0.770155426587
Dere	Centroid	0.33612524722597126	0.547949671211
Deug	Centroid	0.5229259522438465	0.792186844282
Dfic	Centroid	0.530319910038083	0.803394048939
