Species	SeqID	Sigma	Phi
Dord	Centroid	0.10271554884734539	0.211166053702
Mfla	Centroid	0.13958343982316174	0.281611709347
Mmon	Centroid	0.21562878360806959	0.390556019072
Tchi	Centroid	0.17154955860214138	0.284972505995
Mleu	Centroid	0.12169092100998562	0.222487248657
Mdav	Centroid	0.13219294876440923	0.242004723619
Itri	Centroid	0.09864967817451938	0.21330353694
Clup	Centroid	0.3581952941526925	0.490038646232
Pvam	Centroid	0.24653226527933614	0.410567942261
Upar	Centroid	0.12952100880190426	0.242578811523
Cang	Centroid	0.12869289761682565	0.24502837711
Ccan	Centroid	0.09548987838760792	0.186664189211
Eedw	Centroid	0.02652062887382332	0.0730792663392
Fdam	Centroid	0.1856677730146831	0.302567687698
Cjac	Centroid	0.2122095510683261	0.365471238587
Cgri	Centroid	0.19056304488537282	0.356901312939
Mnem	Centroid	0.32375020640901553	0.438230305134
Mmar	Centroid	0.09564050285541582	0.232612440169
Rnor	Centroid	0.19450535766410362	0.317216879959
Mluc	Centroid	0.15450269778235687	0.289871356656
Mnat	Centroid	0.10298105356842757	0.210132098164
Ogar	Centroid	0.1617076263621182	0.273288980499
Ccri	Centroid	0.13817944708067503	0.308794785648
Lcan	Centroid	0.2421633408952829	0.411539978134
Ccap	Centroid	0.3101680185559623	0.430789520363
Ptep	Centroid	0.22747181294785282	0.372187659379
Gsur	Centroid	0.15380838315603065	0.276216601971
Pdis	Centroid	0.1262984664143359	0.27231422625
Mbra	Centroid	0.18136786125762439	0.294850426545
Sara	Centroid	0.04587025487419709	0.134983067359
Mpah	Centroid	0.16954732864610164	0.319969586056
Pman	Centroid	0.1360597017613801	0.249803818046
Shar	Centroid	0.071683601584598	0.155276970768
Caty	Centroid	0.2290471023928953	0.374248970555
Moch	Centroid	0.13177453643411338	0.26228358364
Efus	Centroid	0.2338174943736655	0.367253586348
Ssur	Centroid	0.301479311045298	0.46286135324
