Species	SeqID	Sigma	Phi
Ppar	Centroid	0.6149610405822898	0.886979776815
Ccay	Centroid	0.4268172107093632	0.638709677419
Pcoa	Centroid	0.5980382362676611	0.787081702022
Lpyr	Centroid	0.9064241247029122	0.962040441516
Phal	Centroid	0.37166900071044845	0.764382040448
Cfas	Centroid	0.9788912173026973	0.997646818519
Lmaj	Centroid	0.513721652809785	0.726311980628
Ldon	Centroid	0.5224461213466879	0.729945727331
Ngru	Centroid	0.9107221900099959	0.980841856228
Gthe	Centroid	0.7426608742241844	0.900738817223
Lmex	Centroid	0.549181391980401	0.740662666998
Aast	Centroid	0.6971285190510889	0.922188619376
Tthe	Centroid	0.8760409114480785	0.964919683391
Pvin	Centroid	0.796072647727268	0.903817059001
Bbes	Centroid	0.31376342945344343	0.427772038364
Bhom	Centroid	0.6437004762174448	0.922117611061
Pinf	Centroid	0.2009989618742473	0.718831963139
Lpan	Centroid	0.5292380626642873	0.729483462785
Cmur	Centroid	0.9618787132948117	0.993740607728
Asub	Centroid	0.8992385173754825	0.970026441398
Pcyn	Centroid	0.5240939528520946	0.689019022145
Ncan	Centroid	0.18840770938231013	0.275097623895
Pinu	Centroid	0.5915766757201626	0.757289196538
Tori	Centroid	0.9779128960242114	0.992282323837
Pmar	Centroid	0.7248559426461111	0.901384056328
Spar	Centroid	0.8741400131947714	0.965838122325
Ptri	Centroid	0.86940471241529	0.97002351257
Pgab	Centroid	0.750617760358691	0.868659751093
Tequ	Centroid	0.9621600077946044	0.988597497479
Pgon	Centroid	0.4739842989675253	0.636274319264
Gint	Centroid	0.47988030103762985	0.585322319514
Halb	Centroid	0.9521049812038167	0.991852550526
Bbig	Centroid	0.9060509263869599	0.962748309821
Einv	Centroid	0.8099120770700861	0.966854063515
Pyoe	Centroid	0.7131766419877034	0.817498540628
Prei	Centroid	0.7041785393754376	0.836394670088
Sdic	Centroid	0.7288927707734429	0.969432472422
Ainv	Centroid	0.577130269682453	0.916262504438
Tpar	Centroid	0.9872393774213913	0.996433808324
Psoj	Centroid	0.6454094908547983	0.884105694064
Cpar	Centroid	0.9600833624043597	0.987661395494
Tpse	Centroid	0.8492003062076278	0.954023697479
Ehux	Centroid	0.4950766184689801	0.760116443147
Aano	Centroid	0.4976295171354749	0.72830907771
